date,product,region,quantity,unit_price,revenue
2024-11-23,Laptop,North,9,527.54,4747.86
2024-03-12,Laptop,North,19,872.75,16582.25
2024-01-16,Laptop,South,8,1035.44,8283.52
2024-01-14,Keyboard,South,18,868.06,15625.079999999998
2024-08-17,Keyboard,East,1,1529.67,1529.67
2024-03-22,Monitor,East,9,353.19,3178.71
2024-06-21,Laptop,North,13,238.6,3101.7999999999997
2024-06-25,Keyboard,East,2,1472.98,2945.96
2024-10-01,Laptop,West,3,1126.48,3379.44
2024-11-17,Keyboard,East,19,424.96,8074.24
2024-02-05,Laptop,South,10,1971.18,19711.8
2024-04-29,Laptop,West,9,934.15,8407.35
2024-07-05,Phone,East,12,458.54,5502.4800000000005
2024-05-16,Laptop,South,18,1471.8,26492.399999999998
2024-03-24,Monitor,West,9,1979.57,17816.13
2024-11-23,Keyboard,South,11,1693.56,18629.16
2024-01-29,Phone,North,11,832.27,9154.97
2024-02-03,Phone,East,7,1328.11,9296.769999999999
2024-07-21,Monitor,South,9,322.28,2900.5199999999995
2024-10-14,Keyboard,East,19,885.45,16823.55
2024-10-25,Monitor,East,8,1994.79,15958.32
2024-03-11,Keyboard,West,3,1523.78,4571.34
2024-02-26,Phone,South,14,1213.0,16982.0
2024-07-16,Monitor,West,17,540.26,9184.42
2024-10-10,Laptop,North,18,1514.21,27255.78
2024-11-24,Tablet,North,10,897.79,8977.9
2024-08-20,Laptop,East,17,1535.83,26109.11
2024-09-16,Laptop,East,17,1237.49,21037.33
2024-03-19,Tablet,South,18,1909.32,34367.76
2024-09-28,Laptop,East,16,87.98,1407.68
2024-07-04,Tablet,South,2,519.7,1039.4
2024-10-17,Laptop,North,16,1641.25,26260.0
2024-09-29,Phone,South,16,1896.35,30341.6
2024-03-25,Tablet,West,7,1861.38,13029.66
2024-12-19,Phone,East,13,1990.54,25877.02
2024-11-28,Tablet,West,17,930.4,15816.8
2024-05-06,Phone,North,11,91.02,1001.2199999999999
2024-10-10,Phone,South,1,188.44,188.44
2024-11-19,Laptop,South,3,1815.57,5446.71
2024-06-18,Laptop,South,9,1354.51,12190.59
2024-04-19,Keyboard,South,19,1173.61,22298.589999999997
2024-05-04,Monitor,West,7,233.94,1637.58
2024-12-03,Monitor,East,14,851.65,11923.1
2024-01-28,Laptop,North,13,1470.02,19110.26
2024-02-25,Phone,South,7,1095.76,7670.32
2024-03-12,Monitor,South,9,952.12,8569.08
2024-02-08,Monitor,North,2,1321.68,2643.36
2024-10-03,Laptop,North,8,374.31,2994.48
2024-09-05,Monitor,South,13,1809.76,23526.88
2024-03-25,Monitor,North,13,567.15,7372.95
2024-08-20,Tablet,West,18,1340.65,24131.7
2024-09-06,Phone,South,10,474.52,4745.2
2024-01-30,Keyboard,North,11,161.47,1776.17
2024-10-26,Monitor,South,2,1923.52,3847.04
2024-02-11,Phone,North,20,182.52,3650.4
2024-04-30,Monitor,North,19,530.12,10072.28
2024-10-31,Laptop,North,14,1331.88,18646.32
2024-10-16,Keyboard,East,9,448.31,4034.79
2024-06-09,Phone,East,13,305.21,3967.7299999999996
2024-11-26,Tablet,West,11,1861.59,20477.489999999998
2024-02-07,Laptop,West,20,1996.99,39939.8
2024-02-21,Laptop,South,17,567.14,9641.38
2024-06-27,Laptop,South,12,605.73,7268.76
2024-08-12,Keyboard,East,20,1968.51,39370.2
2024-11-30,Keyboard,North,18,633.79,11408.22
2024-12-05,Laptop,South,9,275.09,2475.81
2024-02-24,Keyboard,South,9,599.42,5394.78
2024-04-17,Tablet,South,9,1035.55,9319.949999999999
2024-05-08,Laptop,North,14,1667.23,23341.22
2024-01-23,Laptop,East,5,1292.37,6461.849999999999
2024-05-14,Phone,West,18,1426.05,25668.899999999998
2024-10-14,Laptop,North,3,1892.85,5678.549999999999
2024-12-19,Phone,North,12,1185.89,14230.68
2024-03-16,Monitor,South,2,651.1,1302.2
2024-01-21,Tablet,South,8,1350.52,10804.16
2024-06-30,Keyboard,West,20,1511.48,30229.6
2024-05-01,Phone,South,14,98.33,1376.62
2024-06-19,Monitor,South,9,360.44,3243.96
2024-12-25,Laptop,West,2,1724.26,3448.52
2024-04-23,Phone,West,12,645.12,7741.4400000000005
2024-04-26,Phone,North,7,827.01,5789.07
2024-05-22,Laptop,East,12,1300.89,15610.68
2024-07-23,Keyboard,East,1,274.92,274.92
2024-05-13,Phone,East,2,261.38,522.76
2024-08-10,Tablet,East,14,1232.11,17249.539999999997
2024-09-18,Laptop,West,19,420.65,7992.349999999999
2024-01-23,Monitor,North,17,1854.87,31532.789999999997
2024-10-02,Phone,East,14,186.45,2610.2999999999997
2024-12-06,Tablet,East,4,1453.52,5814.08
2024-06-02,Keyboard,East,14,686.06,9604.84
2024-12-22,Tablet,South,7,869.87,6089.09
2024-07-13,Phone,East,13,1118.48,14540.24
2024-01-01,Tablet,East,7,888.28,6217.96
2024-10-23,Keyboard,East,15,911.48,13672.2
2024-12-11,Phone,West,6,1334.76,8008.5599999999995
2024-05-25,Keyboard,East,3,1645.93,4937.79
2024-04-30,Tablet,South,7,337.34,2361.3799999999997
2024-01-24,Phone,West,20,1706.99,34139.8
2024-02-07,Monitor,West,19,429.15,8153.849999999999
2024-12-22,Monitor,West,13,525.77,6835.01
2024-12-01,Laptop,North,14,476.74,6674.360000000001
2024-12-22,Keyboard,West,2,1136.94,2273.88
2024-03-03,Monitor,South,15,1351.78,20276.7
2024-10-13,Keyboard,East,15,1244.67,18670.050000000003
2024-09-15,Monitor,West,6,1500.13,9000.78
2024-08-31,Monitor,East,8,1687.73,13501.84
2024-05-21,Keyboard,West,8,585.47,4683.76
2024-02-09,Tablet,South,9,704.9,6344.099999999999
2024-10-03,Laptop,South,5,500.96,2504.7999999999997
2024-12-21,Phone,South,3,858.99,2576.9700000000003
2024-06-18,Keyboard,West,14,171.42,2399.8799999999997
2024-08-03,Monitor,North,19,791.74,15043.06
2024-01-04,Tablet,East,13,1714.22,22284.86
2024-08-02,Keyboard,South,16,477.87,7645.92
2024-08-11,Monitor,North,13,705.45,9170.85
2024-12-13,Monitor,South,15,1843.11,27646.649999999998
2024-11-14,Keyboard,North,13,1204.19,15654.470000000001
2024-12-05,Laptop,North,14,314.61,4404.54
2024-08-24,Phone,North,9,789.25,7103.25
2024-04-18,Monitor,East,11,1534.4,16878.4
2024-07-13,Tablet,West,9,1678.08,15102.72
2024-08-28,Laptop,North,12,487.23,5846.76
2024-02-05,Laptop,North,8,438.75,3510.0
2024-01-11,Keyboard,South,8,296.13,2369.04
2024-12-08,Laptop,South,15,1413.96,21209.4
2024-07-07,Phone,North,6,1931.21,11587.26
2024-02-25,Keyboard,North,10,1172.8,11728.0
2024-07-11,Monitor,South,3,1204.59,3613.7699999999995
2024-11-17,Phone,North,10,1708.07,17080.7
2024-11-03,Laptop,North,12,1088.85,13066.199999999999
2024-12-04,Tablet,North,17,1312.71,22316.07
2024-01-07,Monitor,West,4,895.37,3581.48
2024-07-04,Monitor,South,14,393.47,5508.58
2024-09-24,Tablet,West,15,899.37,13490.55
2024-10-30,Tablet,East,8,1669.93,13359.44
2024-02-14,Tablet,West,8,1513.43,12107.44
2024-10-18,Keyboard,West,11,105.96,1165.56
2024-06-15,Phone,West,7,741.91,5193.37
2024-05-12,Tablet,East,20,1417.31,28346.199999999997
2024-05-21,Keyboard,North,17,1898.72,32278.24
2024-02-13,Phone,West,16,1132.59,18121.44
2024-05-03,Monitor,West,15,1596.22,23943.3
2024-02-17,Tablet,South,13,1398.98,18186.74
2024-06-05,Keyboard,East,16,1129.27,18068.32
2024-06-25,Monitor,East,12,1420.57,17046.84
2024-05-18,Tablet,East,8,285.28,2282.24
2024-04-08,Tablet,North,18,1904.21,34275.78
2024-12-19,Phone,South,7,1490.28,10431.96
2024-05-21,Keyboard,East,4,1673.63,6694.52
2024-05-31,Phone,East,6,639.42,3836.5199999999995
2024-12-28,Keyboard,South,9,138.76,1248.84
2024-01-28,Keyboard,East,5,1293.85,6469.25
2024-09-08,Laptop,North,19,604.46,11484.740000000002
2024-09-02,Monitor,East,6,1932.72,11596.32
2024-05-09,Monitor,North,3,831.38,2494.14
2024-02-07,Keyboard,North,5,340.94,1704.7
2024-10-15,Tablet,North,8,280.98,2247.84
2024-08-01,Keyboard,South,17,791.74,13459.58
2024-08-14,Tablet,West,10,1158.83,11588.3
2024-01-31,Keyboard,North,7,1269.75,8888.25
2024-05-15,Laptop,South,8,388.94,3111.52
2024-02-08,Phone,North,14,928.48,12998.720000000001
2024-10-31,Monitor,East,2,501.38,1002.76
2024-12-27,Tablet,West,3,1390.4,4171.200000000001
2024-05-15,Keyboard,South,14,273.81,3833.34
2024-04-25,Phone,East,5,189.25,946.25
2024-03-25,Tablet,East,15,292.49,4387.35
2024-12-18,Tablet,West,9,1025.92,9233.28
2024-09-09,Monitor,North,20,127.73,2554.6
2024-08-09,Tablet,East,1,228.09,228.09
2024-12-11,Keyboard,North,9,1173.68,10563.12
2024-03-30,Monitor,West,9,403.9,3635.1
2024-10-26,Monitor,West,3,966.52,2899.56
2024-07-28,Tablet,East,4,1722.58,6890.32
2024-06-17,Monitor,West,10,1342.04,13420.4
2024-07-24,Keyboard,North,15,221.72,3325.8
2024-05-09,Tablet,North,13,1736.58,22575.54
2024-01-01,Keyboard,West,14,155.7,2179.7999999999997
2024-09-22,Tablet,West,15,1531.98,22979.7
2024-04-14,Tablet,South,10,904.33,9043.300000000001
2024-12-23,Monitor,North,1,1947.64,1947.64
2024-11-07,Phone,South,10,1124.14,11241.400000000001
2024-10-09,Monitor,North,8,1984.9,15879.2
2024-02-28,Monitor,North,5,1021.83,5109.150000000001
2024-05-29,Keyboard,East,14,1677.71,23487.940000000002
2024-08-29,Phone,West,18,332.05,5976.900000000001
2024-04-07,Keyboard,South,3,588.68,1766.04
2024-07-31,Tablet,East,1,601.54,601.54
2024-06-01,Keyboard,West,5,920.77,4603.85
2024-09-04,Tablet,East,18,1537.6,27676.8
2024-07-12,Monitor,East,7,1962.51,13737.57
2024-05-02,Keyboard,West,8,1719.23,13753.84
2024-07-29,Laptop,East,16,1425.19,22803.04
2024-07-14,Monitor,South,16,1931.41,30902.56
2024-03-05,Keyboard,East,4,1754.67,7018.68
2024-08-13,Laptop,West,1,1458.77,1458.77
2024-07-28,Phone,North,16,1573.97,25183.52
2024-05-15,Tablet,West,3,1710.94,5132.82
2024-12-11,Keyboard,West,11,1272.26,13994.86
2024-09-06,Keyboard,North,20,183.42,3668.3999999999996
